Area Type,Area Name,Year,Month,Date,Series Code,Seasonally Adjusted,Current Employment,Industry Title,COUNTYFIP,County,Rural/Urban,CERF Regions,Crosswalk Value
County,Mariposa,2012,June,06/01/2012,42000000,N,290,retail trade,43,Mariposa,Rural,Eastern Sierra,13
County,Mariposa,2012,July,07/01/2012,42000000,N,280,retail trade,43,Mariposa,Rural,Eastern Sierra,13
County,Mariposa,2012,August,08/01/2012,42000000,N,280,retail trade,43,Mariposa,Rural,Eastern Sierra,13
County,Mariposa,2012,September,09/01/2012,42000000,N,270,retail trade,43,Mariposa,Rural,Eastern Sierra,13
County,Mariposa,2012,October,10/01/2012,42000000,N,270,retail trade,43,Mariposa,Rural,Eastern Sierra,13
County,Mariposa,2012,November,11/01/2012,42000000,N,280,retail trade,43,Mariposa,Rural,Eastern Sierra,13
County,Mariposa,2012,December,12/01/2012,42000000,N,270,retail trade,43,Mariposa,Rural,Eastern Sierra,13
County,Mono,2012,January,01/01/2012,42000000,N,610,retail trade,51,Mono,Rural,Eastern Sierra,13
County,Mono,2012,April,04/01/2012,42000000,N,580,retail trade,51,Mono,Rural,Eastern Sierra,13
County,Mono,2012,February,02/01/2012,42000000,N,610,retail trade,51,Mono,Rural,Eastern Sierra,13
County,Mono,2012,March,03/01/2012,42000000,N,580,retail trade,51,Mono,Rural,Eastern Sierra,13
County,Mono,2012,May,05/01/2012,42000000,N,540,retail trade,51,Mono,Rural,Eastern Sierra,13
County,Mono,2012,June,06/01/2012,42000000,N,580,retail trade,51,Mono,Rural,Eastern Sierra,13
County,Mono,2012,July,07/01/2012,42000000,N,610,retail trade,51,Mono,Rural,Eastern Sierra,13
County,Mono,2012,October,10/01/2012,42000000,N,550,retail trade,51,Mono,Rural,Eastern Sierra,13
County,Mono,2012,August,08/01/2012,42000000,N,600,retail trade,51,Mono,Rural,Eastern Sierra,13
County,Mono,2012,September,09/01/2012,42000000,N,560,retail trade,51,Mono,Rural,Eastern Sierra,13
County,Mono,2012,November,11/01/2012,42000000,N,560,retail trade,51,Mono,Rural,Eastern Sierra,13
County,Mono,2012,December,12/01/2012,42000000,N,650,retail trade,51,Mono,Rural,Eastern Sierra,13
County,Amador,2012,January,01/01/2012,11000000,N,220,total farm,5,Amador,Rural,Eastern Sierra,2
County,Amador,2012,February,02/01/2012,11000000,N,270,total farm,5,Amador,Rural,Eastern Sierra,2
County,Amador,2012,March,03/01/2012,11000000,N,300,total farm,5,Amador,Rural,Eastern Sierra,2
County,Amador,2012,April,04/01/2012,11000000,N,260,total farm,5,Amador,Rural,Eastern Sierra,2
County,Amador,2012,May,05/01/2012,11000000,N,330,total farm,5,Amador,Rural,Eastern Sierra,2
County,Amador,2012,June,06/01/2012,11000000,N,440,total farm,5,Amador,Rural,Eastern Sierra,2
