Main_EDD,Main_Code,Sub_1,Sub_1_Code,Sub_2,Sub_2_Code,Sub_3,Sub_3_Code,Sub_4,Sub_4_Code
Leisure & Hospitality,700,"Arts, Entertainment & Recreation",710,"Museums, Historical Sites & Similar Institutions",712,"Museums, Historical Sites & Similar Institutions",712,"Museums, Historical Sites & Similar Institutions",712
Leisure & Hospitality,700,"Arts, Entertainment & Recreation",710,"Amusement, Gambling & Recreation Industries",713,Amusement Parks & Arcades,713a,Amusement Parks & Arcades,713a
Leisure & Hospitality,700,"Arts, Entertainment & Recreation",710,"Amusement, Gambling & Recreation Industries",713,Gambling Industries,713b,Gambling Industries,713b
Leisure & Hospitality,700,"Arts, Entertainment & Recreation",710,"Amusement, Gambling & Recreation Industries",713,Other Amusement & Recreation Industries,713c,Other Amusement & Recreation Industries,713c
Leisure & Hospitality,700,Accommodation & Food Services,720,Accommodation,721,Accommodation,721,Accommodation,721
Leisure & Hospitality,700,Accommodation & Food Services,720,Food Services & Drinking Places,722,Special Food Services,722a,Special Food Services,722a
Leisure & Hospitality,700,Accommodation & Food Services,720,Food Services & Drinking Places,722,Drinking Places (Alcoholic Beverages),722b,Drinking Places (Alcoholic Beverages),722b
Leisure & Hospitality,700,Accommodation & Food Services,720,Food Services & Drinking Places,722,Full-Service Restaurants,722c,Full-Service Restaurants,722c
Leisure & Hospitality,700,Accommodation & Food Services,720,Food Services & Drinking Places,722,Limited-Service Eating Places,722d,Limited-Service Eating Places,722d
Other Services,800,Repair & Maintenance,811,Automotive Repair & Maintenance,811a,Automotive Repair & Maintenance,811a,Automotive Repair & Maintenance,811a
Other Services,800,Repair & Maintenance,811,Commercial & Industrial Machinery,811b,Commercial & Industrial Machinery,811b,Commercial & Industrial Machinery,811b
Other Services,800,Repair & Maintenance,811,Personal & Household Goods Repair,811c,Personal & Household Goods Repair,811c,Personal & Household Goods Repair,811c
Other Services,800,Personal & Laundry Services,812,Personal Care Services,812a,Personal Care Services,812a,Personal Care Services,812a
Other Services,800,Personal & Laundry Services,812,Drycleaning & Laundry Services,812b,Drycleaning & Laundry Services,812b,Drycleaning & Laundry Services,812b
Other Services,800,Personal & Laundry Services,812,Other Personal Services,812c,Other Personal Services,812c,Other Personal Services,812c
Other Services,800,"Religious, Grants, Civic, Professional & Like Org",813,Religious Organizations,813a,Religious Organizations,813a,Religious Organizations,813a
Other Services,800,"Religious, Grants, Civic, Professional & Like Org",813,Grantmaking & Giving Services,813b,Grantmaking & Giving Services,813b,Grantmaking & Giving Services,813b
Other Services,800,"Religious, Grants, Civic, Professional & Like Org",813,Social Advocacy Organizations,813c,Social Advocacy Organizations,813c,Social Advocacy Organizations,813c
Other Services,800,"Religious, Grants, Civic, Professional & Like Org",813,Civic & Social Organizations,813d,Civic & Social Organizations,813d,Civic & Social Organizations,813d
Other Services,800,"Religious, Grants, Civic, Professional & Like Org",813,"Business, Labor, Political & Similar Organizations",813e,"Business, Labor, Political & Similar Organizations",813e,"Business, Labor, Political & Similar Organizations",813e
Government,900,Federal Government,910,Federal Government excluding Department of Defense,912,Federal Government excluding Department of Defense,912,Federal Government excluding Department of Defense,912
