Industry Title,INDNAICS,Main_Code,Sub_1_Code,Sub_2_Code,Sub_3_Code,Sub_4_Code
Motion pictures and video industries,5121,500,512,512a,512a,512a
Broadcasting (except internet),515,500,515,515,515,515
Wired telecommunications carriers,517311,500,517,517a,517a,517a
"Telecommunications, except wired telecommunications carriers",517z,500,517,517,517,517
"Data processing, hosting, and related services",5182,500,518,518,518,518
Libraries and archives,51912,500,519,519,519,519
Internet publishing and broadcasting and web search portals,51913,500,519,519,519,519
"Other information services, except libraries and archives, and internet publishing and broadcasting and web search portals",5191zm,500,519,519,519,519
Nondepository credit and related activities,522m,520,521,522,522b,522b
"Savings institutions, including credit unions",5221m,520,521,522,522a,522a
"Securities, commodities, funds, trusts, and other financial investments",52m2,520,521,523,523a,523a
Banking and related activities,52m1,520,521,523,523b,523b
Insurance Carriers,5241,520,521,524,524a,524a
"Agencies, Brokerages, And Other Insurance Related Activities",5242,520,521,524,524b,524b
"Lessors Of Real Estate, And Offices Of Real Estate Agents And Brokers",531m,520,530,531,531a,531a
"Real Estate Property Managers, Offices of Real Estate Appraisers, And Other Activities Related to Real Estate",5313,520,530,531,531b,531b
Automotive equipment rental and leasing,5321,520,530,532,532a,532a
Other consumer goods rental,532m2,520,530,532,532b,532b
"Commercial, industrial, and other intangible assets rental and leasing",53m,520,530,532,532d,532d
"Architectural, engineering, and related services",5413,540,541,541c,541c,541c
Scientific research and development services,5417,540,541,541g,541g,541g
Legal services,5411,540,541,541a,541a,541a
"Accounting, tax preparation, bookkeeping and payroll services",5412,540,541,541b,541b,541b
"Other professional, scientific and technical services",5419z,540,541,541i,541i,541i
Computer systems design and related services,5415,540,541,541e,541e,541e
"Advertising, public relations, and related services",5418,540,541,541h,541h,541h
"Management, scientific and technical consulting services",5416,540,541,541f,541f,541f
Veterinary services,54194,540,541,541,541,541
Specialized design services,5414,540,541,541d,541d,541d
Management of companies and enterprises,55,540,550,550,550,550
Employment services,5613,540,560,561,561c,561c
Services to buildings and dwellings (except cleaning during construction and immediately after construction) ,5617z,540,560,561,561g,561g
Investigation and security services,5616,540,560,561,561f,561f
Travel arrangements and reservation services,5615,540,560,561,561e,561e
Business support services,5614,540,560,561,561d,561d
"Other administrative, and other support services",561m,540,560,561,561h,561h
Landscaping services,56173,540,560,561,561,561
Waste management and remediation services,562,540,560,562,562,562
"Colleges, universities, and professional schools, including junior colleges ",611m1,600,610,610,610,610
Elementary and secondary schools,6111,600,610,611,611,611
